Bilangan,ID Stesen,Nama Stesen,Daerah,Lembangan,Sub Lembangan,Update sekarang,Aras Air,Normal,Waspada,Amaran,Bahaya
40,3017481,Sg. Raya di Batu 9,Hulu Langat,Sungai Langat,Sg. Langat,12/11/2022 13:00,37.05,36.00,38.60,39.10,39.60
41,3017408,Sg. Balak di Kg. Baru Balakong,Hulu Langat,Sungai Langat,Sg. Balak,12/11/2022 13:00,35.33,37.00,37.30,37.60,37.90
42,3017409,Sg. Kantan,Hulu Langat,Sungai Langat,Sg. Kantan,12/11/2022 13:00,26.03,27.25,28.50,28.80,29.10
43,2917401,Sg. Langat di Pekan Kajang,Hulu Langat,Sungai Langat,Sg. Langat,12/11/2022 13:00,22.48,22.90,24.40,25.40,26.40
44,2917402,Sg. Langat di Taman West Country Kajang,Hulu Langat,Sungai Langat,Sg. Langat,12/11/2022 13:00,18.77,19.65,21.40,21.90,22.40
45,3018401,Sg. Semenyih di Kg. Pasir,Hulu Langat,Sungai Langat,Sg. Semenyih,12/11/2022 13:00,48.52,48.30,48.80,49.80,50.30
46,2918403,Sg. Semenyih di Jalan Seri Tanjung,Hulu Langat,Sungai Langat,Sg. Semenyih,12/11/2022 13:00,31.52,31.00,34.00,34.50,35.00
47,2918401,Sg. Semenyih di Rinching,Hulu Langat,Sungai Langat,Sg. Semenyih,12/11/2022 13:00,20.69,22.00,24.00,24.50,25.60
48,2817480,Sg. Semenyih di Pekan Bangi Lama,Hulu Langat,Sungai Langat,Sg. Semenyih,12/11/2022 13:00,14.30,13.70,15.70,16.20,16.70
49,2818402,Sg. Beranang di Pekan Beranang,Hulu Langat,Sungai Langat,Sg. Beranang,12/11/2022 13:00,30.65,31.20,31.70,31.90,32.10
50,2916410,Sg. Rasau di Pulau Meranti,Sepang,Sungai Klang,Sg. Rasau,12/11/2022 13:00,11.27,14.40,14.70,15.00,15.30
51,2817403,Sg. Langat di Jenderam Hilir,Sepang,Sungai Langat,Sg. Langat,12/11/2022 13:00,8.31,7.40,10.40,10.70,11.00
52,2817404,Sg. Jenderam di Jenderam Hulu,Sepang,Sungai Langat,Sg. Jenderam,12/11/2022 13:00,9.55,8.90,11.00,12.00,12.30
53,2717420,Sg. Jijan di Taman Desa Merpati,Sepang,Sungai Langat,Sg. Jijan,12/11/2022 13:00,9.34,11.10,11.40,11.70,12.00
54,2717401,Sg. Labu di Kg. Salak Tinggi,Sepang,Sungai Langat,Sg. Labu,12/11/2022 13:00,7.22,7.00,8.20,8.70,9.20
55,2816441,Sg. Langat di Dengkil,Sepang,Sungai Langat,Sg. Langat,12/11/2022 13:00,5.24,3.90,6.40,6.90,7.50
56,2816443,Sg. Langat di Bukit Changgang,Kuala Langat,Sungai Langat,Sg. Langat,12/11/2022 13:00,3.78,1.90,3.30,3.80,4.20
57,2815480,Sg. Langat di JPS Sg. Manggis,Kuala Langat,Sungai Langat,Sg. Langat,12/11/2022 13:00,1.62,0.50,2.20,2.70,3.20
58,2814401,P/A Kg. Teluk Pulai,Kuala Langat,Sungai Langat,Sg. Langat,12/11/2022 13:00,-0.16,0.70,1.30,1.60,1.90
59,2615480,Sg. Kundang di Kg. Kundang,Kuala Langat,Sungai Kundang,Sg. Kundang,12/11/2022 13:00,1.49,1.80,2.80,3.30,3.80
